team_id,team_name,city,logo_path,coach,stadium,total_market_value
1,Mumbai City FC,Mumbai,assets/logos/MumbaiCity.png,Petr Kr√°tk√Ω,Mumbai Football Arena,Ä2.28m
2,Bengaluru FC,Bengaluru,assets/logos/BengaluruFC.png,Pep Munoz,Sree Kanteerava Stadium,Ä2.58m
3,Mohun Bagan Super Giants,Kolkata,assets/logos/MohunBagan.png,Sergio Lobera,Salt Lake Stadium,Ä6.35m
4,FC Goa,Goa,assets/logos/FCGoa.png,Manolo M√°rquez,Jawaharlal Nehru Stadium,Ä3.33m
5,East Bengal FC,Kolkata,assets/logos/EastBengalFC.png,√ìscar Bruz√≥n,Salt Lake Stadium,Ä4.50m
6,Jamshedpur FC,Jamshedpur,assets/logos/JamshedpurFC.png,Owen Coyle,JRD Tata Sports Complex,Ä2.93m
7,Odisha FC,Bhubaneswar,assets/logos/OdishaFC.png,T G Purushothaman,Kalinga Stadium,Ä1.55m
8,Kerala Blasters,Kochi,assets/logos/KeralaBlasters.png,Catal√†,Jawaharlal Nehru Stadium,Ä2.28m
9,Chennayin FC,Chennai,assets/logos/ChennaiyinFC.png,Clifford Miranda,Jawaharlal Nehru Stadium,Ä2.33m
10,Punjab FC,Punjab,assets/logos/PunjabFC.png,Panagiotis Dilberis,Jawaharlal Nehru Stadium,Ä2.50m
11,Inter Kashi,Varanasi,assets/logos/InterKashi.png,Antonio L√≥pez,Kishore Bharati Krirangan,Ä1.95m
12,NorthEast United,Guwahati,assets/logos/NorthEastUnitedFC.png,Juan Pedro Benali,Indira Gandhi Athletic Stadium,Ä2.08m
13,Mohammedan SC,Kolkata,assets/logos/MohammedanSC.png,Andrey Chernyshov,Kishore Bharati Krirangan,Ä750k
14,Sporting Delhi,Delhi,assets/logos/SCDelhi.png,Tomasz Tch√≥rz,Jawaharlal Nehru Stadium,Ä1.83m
